,Set,Point,Area,GCP,Projections,Control_or_Check,Error_(m),Squared_Residual,Enable,X/Longitude,Y/Latitude,Z/Altitude,Easting,Northing,X_error,Y_error,Z_error,X_est,Y_est,Z_est
60,GroupK,7,Channel,T3,217.0,Control Point,0.018334,0.000336135556,1.0,-106.186826,38.733321000000004,2763.751,396844.38007787336,4287852.142968999,-0.016449000000000002,0.00807,0.000657,-106.186826,38.733321999999994,2763.7516570000003
63,GroupK,7,Channel,DT2,81.0,Control Point,0.027985000000000003,0.0007831602250000002,1.0,-106.183741,38.730512,2658.782,397108.4980586996,4287536.953603285,0.027531,0.004744,0.001641,-106.183741,38.730513,2658.783641
64,GroupK,7,Channel,DT3,153.0,Control Point,0.042541,0.0018097366810000003,1.0,-106.184471,38.731238,2683.178,397046.0862232649,4287618.339250248,-0.002612,-0.019987,-0.037462,-106.184471,38.731238,2683.140538
65,GroupK,7,Channel,DT4,239.0,Control Point,0.025025,0.000626250625,1.0,-106.185427,38.732221,2711.947,396964.40064872376,4287728.499324151,-0.012262,0.005758,0.021041999999999998,-106.185428,38.732221,2711.968042
66,GroupK,7,Channel,DT5,209.0,Control Point,0.036532999999999996,0.0013346600889999997,1.0,-106.185148,38.733289,2792.872,396990.18577877176,4287846.702616913,-0.0069900000000000006,-0.000699,0.035851,-106.185148,38.733289,2792.907851
70,GroupK,7,Channel,RD4,49.0,Control Point,0.009164,8.3978896e-05,1.0,-106.188271,38.73666,3012.2,396723.58982239134,4288224.305086758,0.0060420000000000005,-0.004171,-0.005485,-106.188271,38.736659,3012.1945149999997
71,GroupK,7,Channel,RD5,8.0,Control Point,0.00817,6.67489e-05,1.0,-106.189552,38.735007,3128.597,396609.8671470645,4288042.315433306,0.005932,0.005608,-0.000338,-106.189552,38.735007,3128.596662
96,GroupJ,7,Entire Basin,T3,217.0,Check Point,0.025947,0.0006732468090000001,0.0,-106.186826,38.733321000000004,2763.751,396844.38007787336,4287852.142968999,-0.019405000000000002,0.014969999999999999,-0.008519,-106.18682700000001,38.733321999999994,2763.7424809999998
98,GroupJ,7,Entire Basin,DT1,15.0,Check Point,0.010976,0.000120472576,0.0,-106.183008,38.730469,2670.836,397172.1512099126,4287531.358390766,-0.008126999999999999,-0.0029519999999999998,-0.006761,-106.183008,38.730469,2670.829239
100,GroupJ,7,Entire Basin,DT3,153.0,Check Point,0.06816799999999999,0.0046468762239999985,0.0,-106.184471,38.731238,2683.178,397046.0862232649,4287618.339250248,-0.008775,-0.030639999999999997,-0.060259,-106.184471,38.731237,2683.117741
104,GroupJ,7,Entire Basin,RD2,14.0,Check Point,0.046504000000000004,0.0021626220160000003,0.0,-106.185627,38.735308,3038.103,396951.4525081234,4288071.292555918,0.002029,0.008886,-0.045602,-106.185627,38.735309,3038.057398
106,GroupJ,7,Entire Basin,RD4,49.0,Check Point,0.033479,0.001120843441,0.0,-106.188271,38.73666,3012.2,396723.58982239134,4288224.305086758,0.020993,-0.005581,0.025476,-106.188271,38.736659,3012.225476
97,GroupJ,7,Entire Basin,T4,194.0,Control Point,0.014475,0.000209525625,1.0,-106.18664799999999,38.73335,2759.098,396859.8935383171,4287855.160595846,0.001082,0.012743,0.00678,-106.18664799999999,38.73335,2759.10478
99,GroupJ,7,Entire Basin,DT2,81.0,Control Point,0.032174,0.001035166276,1.0,-106.183741,38.730512,2658.782,397108.4980586996,4287536.953603285,0.020066999999999998,-0.011989,-0.022106999999999998,-106.183741,38.730512,2658.759893
101,GroupJ,7,Entire Basin,DT4,239.0,Control Point,0.017429,0.000303770041,1.0,-106.185427,38.732221,2711.947,396964.40064872376,4287728.499324151,-0.016604,0.0036409999999999997,0.0038520000000000004,-106.185428,38.732221,2711.950852
102,GroupJ,7,Entire Basin,DT5,209.0,Control Point,0.034086,0.001161855396,1.0,-106.185148,38.733289,2792.872,396990.18577877176,4287846.702616913,-0.006108,-0.006139,0.032967,-106.185148,38.733289,2792.9049670000004
103,GroupJ,7,Entire Basin,RD1,0.0,Control Point,0.0,0.0,1.0,-106.184027,38.73474,3036.657,397089.705397536,4288006.461182902,-0.0,-0.0,-0.0,-106.184027,38.73474,3036.657
105,GroupJ,7,Entire Basin,RD3,56.0,Control Point,0.011484000000000001,0.00013188225600000003,1.0,-106.187577,38.736354999999996,3028.458,396783.47042138217,4288189.676168607,-0.001396,-0.001668,-0.011276000000000001,-106.187577,38.736354999999996,3028.446724
107,GroupJ,7,Entire Basin,RD5,8.0,Control Point,0.006718000000000001,4.513152400000001e-05,1.0,-106.189552,38.735007,3128.597,396609.8671470645,4288042.315433306,0.00473,0.002009,0.004327,-106.189552,38.735007,3128.601327
25,GroupL,7,Ridge,T4,194.0,Check Point,0.024734,0.000611770756,0.0,-106.18664799999999,38.73335,2759.098,396859.8935383171,4287855.160595846,0.011838,0.008479,0.019993,-106.18664799999999,38.73335,2759.117993
26,GroupL,7,Ridge,DT1,15.0,Check Point,0.014808000000000002,0.00021927686400000006,0.0,-106.183008,38.730469,2670.836,397172.1512099126,4287531.358390766,-0.009641,-0.004001,0.010504000000000001,-106.183008,38.730469,2670.846504
28,GroupL,7,Ridge,DT3,153.0,Check Point,0.053126,0.002822371876,0.0,-106.184471,38.731238,2683.178,397046.0862232649,4287618.339250248,-0.0052049999999999996,-0.030612,-0.043107,-106.184471,38.731237,2683.134893
30,GroupL,7,Ridge,DT5,209.0,Check Point,0.058837,0.003461792569,0.0,-106.185148,38.733289,2792.872,396990.18577877176,4287846.702616913,-0.001607,-0.0157,0.056680999999999995,-106.185148,38.733289,2792.928681
33,GroupL,7,Ridge,RD3,56.0,Check Point,0.012766,0.00016297075599999998,0.0,-106.187577,38.736354999999996,3028.458,396783.47042138217,4288189.676168607,-0.0076370000000000006,-0.003812,-0.009492,-106.187577,38.736354999999996,3028.448508
24,GroupL,7,Ridge,T3,217.0,Control Point,0.014512,0.000210598144,1.0,-106.186826,38.733321000000004,2763.751,396844.38007787336,4287852.142968999,-0.008806,0.01116,0.002918,-106.186826,38.733321999999994,2763.753918
27,GroupL,7,Ridge,DT2,81.0,Control Point,0.024634,0.000606833956,1.0,-106.183741,38.730512,2658.782,397108.4980586996,4287536.953603285,0.021024,-0.010253,-0.007726,-106.183741,38.730512,2658.774274
29,GroupL,7,Ridge,DT4,239.0,Control Point,0.023365,0.000545923225,1.0,-106.185427,38.732221,2711.947,396964.40064872376,4287728.499324151,-0.008948000000000001,0.001454,0.021535,-106.185428,38.732221,2711.968535
31,GroupL,7,Ridge,RD1,0.0,Control Point,0.0,0.0,1.0,-106.184027,38.73474,3036.657,397089.705397536,4288006.461182902,-0.0,-0.0,0.0,-106.184027,38.73474,3036.657
32,GroupL,7,Ridge,RD2,14.0,Control Point,0.019998,0.00039992000399999994,1.0,-106.185627,38.735308,3038.103,396951.4525081234,4288071.292555918,-0.006157999999999999,-0.001993,-0.018921,-106.185627,38.735308,3038.0840789999997
34,GroupL,7,Ridge,RD4,49.0,Control Point,0.024631999999999998,0.0006067354239999999,1.0,-106.188271,38.73666,3012.2,396723.58982239134,4288224.305086758,0.016048,-0.005686,0.0178,-106.188271,38.736659,3012.2178
35,GroupL,7,Ridge,RD5,8.0,Control Point,0.012762,0.00016286864400000002,1.0,-106.189552,38.735007,3128.597,396609.8671470645,4288042.315433306,-0.011983,0.0041270000000000005,0.001492,-106.189552,38.735007,3128.598492
86,GroupN,8,Channel,DT1,15.0,Check Point,0.022362,0.000500059044,0.0,-106.183008,38.730469,2670.836,397172.1512099126,4287531.358390766,-0.002483,0.018106999999999998,0.012884999999999999,-106.183008,38.730469,2670.8488850000003
91,GroupN,8,Channel,RD1,0.0,Check Point,,,0.0,-106.184027,38.73474,3036.657,397089.705397536,4288006.461182902,,,,,,
92,GroupN,8,Channel,RD2,14.0,Check Point,0.075235,0.0056603052249999996,0.0,-106.185627,38.735308,3038.103,396951.4525081234,4288071.292555918,-0.0034799999999999996,0.028813,-0.069412,-106.185627,38.735309,3038.033588
93,GroupN,8,Channel,RD3,56.0,Check Point,0.044669,0.001995319561,0.0,-106.187577,38.736354999999996,3028.458,396783.47042138217,4288189.676168607,-0.014378,0.005179,-0.041974000000000004,-106.187577,38.736354999999996,3028.4160260000003
84,GroupN,8,Channel,T3,217.0,Control Point,0.018628,0.00034700238399999994,1.0,-106.186826,38.733321000000004,2763.751,396844.38007787336,4287852.142968999,-0.017051,0.007097,-0.002433,-106.186826,38.733321999999994,2763.748567
85,GroupN,8,Channel,T4,194.0,Control Point,0.013696000000000002,0.00018758041600000003,1.0,-106.18664799999999,38.73335,2759.098,396859.8935383171,4287855.160595846,0.002543,0.005429,0.012314,-106.18664799999999,38.73335,2759.110314
87,GroupN,8,Channel,DT2,81.0,Control Point,0.027975,0.000782600625,1.0,-106.183741,38.730512,2658.782,397108.4980586996,4287536.953603285,0.027694,0.003846,0.0009339999999999999,-106.183741,38.730512,2658.782934
88,GroupN,8,Channel,DT3,153.0,Control Point,0.044244,0.001957531536,1.0,-106.184471,38.731238,2683.178,397046.0862232649,4287618.339250248,-0.002537,-0.021013,-0.038853,-106.184471,38.731238,2683.139147
89,GroupN,8,Channel,DT4,239.0,Control Point,0.023008,0.0005293680640000001,1.0,-106.185427,38.732221,2711.947,396964.40064872376,4287728.499324151,-0.012409,0.0046630000000000005,0.018806,-106.185428,38.732221,2711.9658059999997
90,GroupN,8,Channel,DT5,209.0,Control Point,0.03429,0.0011758041000000002,1.0,-106.185148,38.733289,2792.872,396990.18577877176,4287846.702616913,-0.0074849999999999995,-0.0014609999999999998,0.033431,-106.185148,38.733289,2792.9054309999997
